year_month,state,district,biometric_total
2025-04,Andhra Pradesh,Mahabubnagar,4
2025-04,Andhra Pradesh,Mahbubnagar,488
2025-04,Andhra Pradesh,Medak,805
2025-04,Andhra Pradesh,N. T. R,216
2025-04,Andhra Pradesh,Nalgonda,993
2025-04,Andhra Pradesh,Nandyal,220
2025-04,Andhra Pradesh,Nellore,2353
2025-04,Andhra Pradesh,Nizamabad,281
2025-04,Andhra Pradesh,Palnadu,166
2025-04,Andhra Pradesh,Parvathipuram Manyam,156
2025-04,Andhra Pradesh,Prakasam,3759
2025-04,Andhra Pradesh,Rangareddi,1218
2025-04,Andhra Pradesh,Sri Potti Sriramulu Nellore,171
2025-04,Andhra Pradesh,Sri Sathya Sai,183
2025-04,Andhra Pradesh,Srikakulam,2813
2025-04,Andhra Pradesh,Tirupati,194
2025-04,Andhra Pradesh,Visakhapatnam,4816
2025-04,Andhra Pradesh,Vizianagaram,2508
2025-04,Andhra Pradesh,Warangal,1331
2025-04,Andhra Pradesh,West Godavari,3550
2025-04,Andhra Pradesh,Y. S. R,156
2025-04,Arunachal Pradesh,Anjaw,19
2025-04,Arunachal Pradesh,Changlang,342
2025-04,Arunachal Pradesh,Dibang Valley,11
2025-04,Arunachal Pradesh,East Kameng,146
2025-04,Arunachal Pradesh,East Siang,121
2025-04,Arunachal Pradesh,Kamle,3
2025-04,Arunachal Pradesh,Kra Daadi,19
2025-04,Arunachal Pradesh,Kurung Kumey,23
2025-04,Arunachal Pradesh,Leparada,1
2025-04,Arunachal Pradesh,Lohit,109
2025-04,Arunachal Pradesh,Longding,65
2025-04,Arunachal Pradesh,Lower Dibang Valley,69
2025-04,Arunachal Pradesh,Lower Siang,41
2025-04,Arunachal Pradesh,Lower Subansiri,47
2025-04,Arunachal Pradesh,Namsai,193
2025-04,Arunachal Pradesh,Pakke Kessang,3
2025-04,Arunachal Pradesh,Papum Pare,218
2025-04,Arunachal Pradesh,Shi-yomi,14
2025-04,Arunachal Pradesh,Siang,19
2025-04,Arunachal Pradesh,Tawang,33
2025-04,Arunachal Pradesh,Tirap,39
2025-04,Arunachal Pradesh,Upper Siang,72
2025-04,Arunachal Pradesh,Upper Subansiri,100
2025-04,Arunachal Pradesh,West Kameng,139
2025-04,Arunachal Pradesh,West Siang,201
2025-04,Assam,Bajali,3
2025-04,Assam,Baksa,352
2025-04,Assam,Barpeta,2291
2025-04,Assam,Biswanath,201
2025-04,Assam,Bongaigaon,642
2025-04,Assam,Cachar,1391
2025-04,Assam,Charaideo,215
2025-04,Assam,Chirang,755
2025-04,Assam,Darrang,495
2025-04,Assam,Dhemaji,519
2025-04,Assam,Dhubri,1302
2025-04,Assam,Dibrugarh,471
2025-04,Assam,Dima Hasao,1
2025-04,Assam,Goalpara,818
2025-04,Assam,Golaghat,567
2025-04,Assam,Hailakandi,563
2025-04,Assam,Hojai,524
2025-04,Assam,Jorhat,334
2025-04,Assam,Kamrup,968
2025-04,Assam,Kamrup Metro,489
2025-04,Assam,Karbi Anglong,1188
2025-04,Assam,Karimganj,1053
2025-04,Assam,Kokrajhar,515
2025-04,Assam,Lakhimpur,852
2025-04,Assam,Majuli,131
2025-04,Assam,Marigaon,836
2025-04,Assam,Nagaon,3436
2025-04,Assam,Nalbari,825
2025-04,Assam,North Cachar Hills,99
2025-04,Assam,Sibsagar,300
2025-04,Assam,Sonitpur,626
2025-04,Assam,South Salmara Mankachar,125
2025-04,Assam,Sribhumi,19
2025-04,Assam,Tamulpur District,2
2025-04,Assam,Tinsukia,479
2025-04,Assam,Udalguri,434
2025-04,Assam,West Karbi Anglong,79
2025-04,Bihar,Araria,1821
2025-04,Bihar,Arwal,441
2025-04,Bihar,Aurangabad,1223
2025-04,Bihar,Aurangabad(bh),7
2025-04,Bihar,Banka,1082
2025-04,Bihar,Begusarai,1849
2025-04,Bihar,Bhabua,1
2025-04,Bihar,Bhagalpur,1608
2025-04,Bihar,Bhojpur,1070
2025-04,Bihar,Buxar,716
2025-04,Bihar,Darbhanga,2652
2025-04,Bihar,East Champaran,2790
2025-04,Bihar,Gaya,2005
2025-04,Bihar,Gopalganj,1578
2025-04,Bihar,Jamui,917
2025-04,Bihar,Jehanabad,451
2025-04,Bihar,Kaimur (Bhabua),1109
2025-04,Bihar,Katihar,3013
2025-04,Bihar,Khagaria,1047
2025-04,Bihar,Kishanganj,3478
2025-04,Bihar,Lakhisarai,566
2025-04,Bihar,Madhepura,1585
2025-04,Bihar,Madhubani,2944
2025-04,Bihar,Monghyr,5
2025-04,Bihar,Munger,585
2025-04,Bihar,Muzaffarpur,2538
2025-04,Bihar,Nalanda,1403
2025-04,Bihar,Nawada,1054
2025-04,Bihar,Pashchim Champaran,12
2025-04,Bihar,Patna,2591
2025-04,Bihar,Purba Champaran,9
2025-04,Bihar,Purnea,62
2025-04,Bihar,Purnia,3008
2025-04,Bihar,Rohtas,1428
2025-04,Bihar,Saharsa,1750
2025-04,Bihar,Samastipur,2775
2025-04,Bihar,Samstipur,14
2025-04,Bihar,Saran,2051
2025-04,Bihar,Sheikhpura,551
2025-04,Bihar,Sheikpura,2
2025-04,Bihar,Sheohar,468
2025-04,Bihar,Sitamarhi,2575
2025-04,Bihar,Siwan,1951
2025-04,Bihar,Supaul,1315
2025-04,Bihar,Vaishali,2197
2025-04,Bihar,West Champaran,2448
2025-04,Chandigarh,Chandigarh,658
2025-04,Chhattisgarh,Balod,1765
2025-04,Chhattisgarh,Baloda Bazar,1779
2025-04,Chhattisgarh,Balrampur,749
2025-04,Chhattisgarh,Bastar,1951
2025-04,Chhattisgarh,Bemetara,1729
2025-04,Chhattisgarh,Bijapur,526
2025-04,Chhattisgarh,Bilaspur,2157
2025-04,Chhattisgarh,Dakshin Bastar Dantewada,594
2025-04,Chhattisgarh,Dantewada,346
2025-04,Chhattisgarh,Dhamtari,1300
2025-04,Chhattisgarh,Durg,2436
2025-04,Chhattisgarh,Gariyaband,781
2025-04,Chhattisgarh,Gaurela-pendra-marwahi,19
2025-04,Chhattisgarh,Janjgir - Champa,4
2025-04,Chhattisgarh,Janjgir Champa,5
2025-04,Chhattisgarh,Janjgir-champa,2328
2025-04,Chhattisgarh,Jashpur,1085
2025-04,Chhattisgarh,Kabeerdham,452
2025-04,Chhattisgarh,Kanker,977
2025-04,Chhattisgarh,Kawardha,1286
2025-04,Chhattisgarh,Khairagarh Chhuikhadan Gandai,23
2025-04,Chhattisgarh,Kondagaon,953
2025-04,Chhattisgarh,Korba,935
2025-04,Chhattisgarh,Koriya,657
2025-04,Chhattisgarh,Mahasamund,1008
2025-04,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,13
2025-04,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,5
2025-04,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,40
2025-04,Chhattisgarh,Mungeli,838
2025-04,Chhattisgarh,Narayanpur,475
2025-04,Chhattisgarh,Raigarh,2858
2025-04,Chhattisgarh,Raipur,2605
2025-04,Chhattisgarh,Rajnandgaon,2494
2025-04,Chhattisgarh,Sakti,29
2025-04,Chhattisgarh,Sarangarh-Bilaigarh,39
2025-04,Chhattisgarh,Sukma,873
2025-04,Chhattisgarh,Surajpur,670
2025-04,Chhattisgarh,Surguja,1169
2025-04,Chhattisgarh,Uttar Bastar Kanker,582
2025-04,Dadra & Nagar Haveli,Dadra & Nagar Haveli,11
2025-04,Dadra and Nagar Haveli,Dadra and Nagar Haveli,395
2025-04,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,12
2025-04,Dadra and Nagar Haveli and Daman and Diu,Daman,3
2025-04,Dadra and Nagar Haveli and Daman and Diu,Diu,2
2025-04,Daman & Diu,Daman,26
2025-04,Daman & Diu,Diu,21
2025-04,Daman and Diu,Daman,67
2025-04,Daman and Diu,Diu,67
2025-04,Delhi,Central Delhi,587
2025-04,Delhi,East Delhi,1332
2025-04,Delhi,Najafgarh,13
2025-04,Delhi,New Delhi,69
2025-04,Delhi,North Delhi,675
2025-04,Delhi,North East,494
2025-04,Delhi,North East Delhi,1998
2025-04,Delhi,North West Delhi,4276
2025-04,Delhi,Shahdara,75
2025-04,Delhi,South Delhi,2312
2025-04,Delhi,South East Delhi,7
2025-04,Delhi,South West Delhi,1218
2025-04,Delhi,West Delhi,2044
2025-04,Goa,Bardez,3
2025-04,Goa,North Goa,589
2025-04,Goa,South Goa,549
2025-04,Gujarat,Ahmadabad,329
2025-04,Gujarat,Ahmedabad,5984
2025-04,Gujarat,Amreli,991
2025-04,Gujarat,Anand,1455
2025-04,Gujarat,Arvalli,397
2025-04,Gujarat,Banas Kantha,25
2025-04,Gujarat,Banaskantha,2682
2025-04,Gujarat,Bharuch,993
2025-04,Gujarat,Bhavnagar,1772
2025-04,Gujarat,Botad,218
2025-04,Gujarat,Chhotaudepur,328
2025-04,Gujarat,Dahod,1478
2025-04,Gujarat,Devbhumi Dwarka,400
2025-04,Gujarat,Dohad,221
2025-04,Gujarat,Gandhinagar,839
2025-04,Gujarat,Gir Somnath,529
2025-04,Gujarat,Jamnagar,953
2025-04,Gujarat,Junagadh,1350
2025-04,Gujarat,Kachchh,1628
2025-04,Gujarat,Kheda,1504
2025-04,Gujarat,Mahesana,1360
2025-04,Gujarat,Mahisagar,356
2025-04,Gujarat,Morbi,425
2025-04,Gujarat,Narmada,396
2025-04,Gujarat,Navsari,839
2025-04,Gujarat,Panch Mahals,14
2025-04,Gujarat,Panchmahals,1893
2025-04,Gujarat,Patan,1245
2025-04,Gujarat,Porbandar,318
2025-04,Gujarat,Rajkot,2118
2025-04,Gujarat,Sabar Kantha,17
2025-04,Gujarat,Sabarkantha,1214
2025-04,Gujarat,Surat,4229
2025-04,Gujarat,Surendra Nagar,1117
2025-04,Gujarat,Surendranagar,19
2025-04,Gujarat,Tapi,664
2025-04,Gujarat,The Dangs,390
2025-04,Gujarat,Vadodara,2587
2025-04,Gujarat,Valsad,1218
2025-04,Haryana,Ambala,526
2025-04,Haryana,Bhiwani,957
2025-04,Haryana,Charkhi Dadri,100
2025-04,Haryana,Faridabad,1566
2025-04,Haryana,Fatehabad,970
2025-04,Haryana,Gurgaon,695
2025-04,Haryana,Hisar,1162
2025-04,Haryana,Jhajjar,542
2025-04,Haryana,Jind,933
2025-04,Haryana,Kaithal,759
2025-04,Haryana,Karnal,631
2025-04,Haryana,Kurukshetra,719
2025-04,Haryana,Mahendragarh,666
2025-04,Haryana,Mewat,1424
2025-04,Haryana,Palwal,1075
2025-04,Haryana,Panchkula,334
2025-04,Haryana,Panipat,805
2025-04,Haryana,Rewari,781
2025-04,Haryana,Rohtak,771
2025-04,Haryana,Sirsa,1136
2025-04,Haryana,Sonipat,742
2025-04,Haryana,Yamuna Nagar,1011
2025-04,Haryana,Yamunanagar,10
2025-04,Himachal Pradesh,Bilaspur,306
2025-04,Himachal Pradesh,Chamba,326
2025-04,Himachal Pradesh,Hamirpur,284
2025-04,Himachal Pradesh,Kangra,1083
2025-04,Himachal Pradesh,Kinnaur,31
2025-04,Himachal Pradesh,Kullu,179
2025-04,Himachal Pradesh,Lahul & Spiti,8
2025-04,Himachal Pradesh,Lahul and Spiti,11
2025-04,Himachal Pradesh,Mandi,603
2025-04,Himachal Pradesh,Shimla,385
2025-04,Himachal Pradesh,Sirmaur,300
2025-04,Himachal Pradesh,Solan,455
2025-04,Himachal Pradesh,Una,435
2025-04,Jammu & Kashmir,Baramula,3
2025-04,Jammu & Kashmir,Jammu,6
2025-04,Jammu & Kashmir,Kathua,3
2025-04,Jammu & Kashmir,Kupwara,1
2025-04,Jammu & Kashmir,Leh (ladakh),1
2025-04,Jammu & Kashmir,Pulwama,1
2025-04,Jammu & Kashmir,Rajauri,1
2025-04,Jammu & Kashmir,Srinagar,2
2025-04,Jammu and Kashmir,Anantnag,634
2025-04,Jammu and Kashmir,Badgam,211
2025-04,Jammu and Kashmir,Bandipore,261
2025-04,Jammu and Kashmir,Baramula,1136
2025-04,Jammu and Kashmir,Budgam,395
2025-04,Jammu and Kashmir,Doda,725
2025-04,Jammu and Kashmir,Ganderbal,200
2025-04,Jammu and Kashmir,Jammu,1912
2025-04,Jammu and Kashmir,Kargil,43
2025-04,Jammu and Kashmir,Kathua,705
2025-04,Jammu and Kashmir,Kishtwar,250
2025-04,Jammu and Kashmir,Kulgam,293
2025-04,Jammu and Kashmir,Kupwara,809
2025-04,Jammu and Kashmir,Leh,31
2025-04,Jammu and Kashmir,Pulwama,1335
2025-04,Jammu and Kashmir,Punch,791
2025-04,Jammu and Kashmir,Rajouri,1130
2025-04,Jammu and Kashmir,Ramban,889
2025-04,Jammu and Kashmir,Reasi,264
2025-04,Jammu and Kashmir,Samba,255
2025-04,Jammu and Kashmir,Shupiyan,360
2025-04,Jammu and Kashmir,Srinagar,1569
2025-04,Jammu and Kashmir,Udhampur,756
2025-04,Jharkhand,Bokaro,1032
2025-04,Jharkhand,Chatra,667
2025-04,Jharkhand,Deoghar,592
2025-04,Jharkhand,Dhanbad,1218
2025-04,Jharkhand,Dumka,687
2025-04,Jharkhand,East Singhbhum,1418
2025-04,Jharkhand,Garhwa,819
2025-04,Jharkhand,Garhwa *,81
2025-04,Jharkhand,Giridih,1038
2025-04,Jharkhand,Godda,661
2025-04,Jharkhand,Gumla,761
2025-04,Jharkhand,Hazaribag,79
2025-04,Jharkhand,Hazaribagh,782
2025-04,Jharkhand,Jamtara,383
2025-04,Jharkhand,Khunti,492
2025-04,Jharkhand,Kodarma,71
2025-04,Jharkhand,Koderma,388
2025-04,Jharkhand,Latehar,432
2025-04,Jharkhand,Lohardaga,288
2025-04,Jharkhand,Pakaur,28
2025-04,Jharkhand,Pakur,294
2025-04,Jharkhand,Palamau,30
2025-04,Jharkhand,Palamu,996
2025-04,Jharkhand,Pashchimi Singhbhum,150
2025-04,Jharkhand,Purbi Singhbhum,204
2025-04,Jharkhand,Ramgarh,368
2025-04,Jharkhand,Ranchi,1254
2025-04,Jharkhand,Sahebganj,636
2025-04,Jharkhand,Sahibganj,34
2025-04,Jharkhand,Seraikela-Kharsawan,644
2025-04,Jharkhand,Seraikela-kharsawan,189
2025-04,Jharkhand,Simdega,531
2025-04,Jharkhand,West Singhbhum,1057
2025-04,Karnataka,Bagalkot,1021
2025-04,Karnataka,Bagalkot *,43
2025-04,Karnataka,Ballari,453
2025-04,Karnataka,Bangalore,2095
2025-04,Karnataka,Bangalore Rural,479
2025-04,Karnataka,Belagavi,1003
2025-04,Karnataka,Belgaum,1411
2025-04,Karnataka,Bellary,1040
2025-04,Karnataka,Bengaluru,2954
2025-04,Karnataka,Bengaluru South,2
2025-04,Karnataka,Bidar,1218
2025-04,Karnataka,Bijapur,833
2025-04,Karnataka,Chamarajanagar,67
2025-04,Karnataka,Chamarajanagar *,1
2025-04,Karnataka,Chamrajanagar,514
2025-04,Karnataka,Chamrajnagar,59
2025-04,Karnataka,Chickmagalur,227
2025-04,Karnataka,Chikkaballapur,490
2025-04,Karnataka,Chikkamagaluru,147
2025-04,Karnataka,Chikmagalur,23
2025-04,Karnataka,Chitradurga,676
2025-04,Karnataka,Dakshina Kannada,913
2025-04,Karnataka,Davanagere,103
2025-04,Karnataka,Davangere,1005
2025-04,Karnataka,Dharwad,872
2025-04,Karnataka,Gadag,444
2025-04,Karnataka,Gadag *,22
2025-04,Karnataka,Gulbarga,946
2025-04,Karnataka,Hasan,178
2025-04,Karnataka,Hassan,512
2025-04,Karnataka,Haveri,599
2025-04,Karnataka,Haveri *,29
2025-04,Karnataka,Kalaburagi,893
2025-04,Karnataka,Kodagu,246
2025-04,Karnataka,Kolar,860
2025-04,Karnataka,Koppal,840
2025-04,Karnataka,Mandya,848
2025-04,Karnataka,Mysore,747
2025-04,Karnataka,Mysuru,591
2025-04,Karnataka,Raichur,1326
2025-04,Karnataka,Ramanagar,505
2025-04,Karnataka,Shimoga,331
2025-04,Karnataka,Shivamogga,399
2025-04,Karnataka,Tumakuru,502
2025-04,Karnataka,Tumkur,823
2025-04,Karnataka,Udupi,438
2025-04,Karnataka,Uttara Kannada,511
2025-04,Karnataka,Vijayanagara,226
2025-04,Karnataka,Vijayapura,664
2025-04,Karnataka,Yadgir,713
2025-04,Karnataka,yadgir,95
2025-04,Kerala,Alappuzha,876
2025-04,Kerala,Ernakulam,1786
2025-04,Kerala,Idukki,622
2025-04,Kerala,Kannur,1432
2025-04,Kerala,Kasaragod,703
2025-04,Kerala,Kasargod,85
2025-04,Kerala,Kollam,1345
2025-04,Kerala,Kottayam,917
2025-04,Kerala,Kozhikode,2251
2025-04,Kerala,Malappuram,3531
2025-04,Kerala,Palakkad,1697
2025-04,Kerala,Pathanamthitta,646
2025-04,Kerala,Thiruvananthapuram,1489
2025-04,Kerala,Thrissur,1461
2025-04,Kerala,Wayanad,408
2025-04,Ladakh,Kargil,38
2025-04,Ladakh,Leh,30
2025-04,Lakshadweep,Lakshadweep,46
2025-04,Madhya Pradesh,Agar Malwa,188
2025-04,Madhya Pradesh,Alirajpur,674
2025-04,Madhya Pradesh,Anuppur,837
2025-04,Madhya Pradesh,Ashok Nagar,729
2025-04,Madhya Pradesh,Balaghat,1903
2025-04,Madhya Pradesh,Barwani,1327
2025-04,Madhya Pradesh,Betul,2369
2025-04,Madhya Pradesh,Bhind,1179
2025-04,Madhya Pradesh,Bhopal,2326
2025-04,Madhya Pradesh,Burhanpur,1006
2025-04,Madhya Pradesh,Chhatarpur,1880
2025-04,Madhya Pradesh,Chhindwara,2121
2025-04,Madhya Pradesh,Damoh,1036
2025-04,Madhya Pradesh,Datia,569
2025-04,Madhya Pradesh,Dewas,2245
2025-04,Madhya Pradesh,Dhar,899
2025-04,Madhya Pradesh,Dindori,596
2025-04,Madhya Pradesh,East Nimar,416
2025-04,Madhya Pradesh,Guna,1394
2025-04,Madhya Pradesh,Gwalior,1725
2025-04,Madhya Pradesh,Harda,477
2025-04,Madhya Pradesh,Harda *,148
2025-04,Madhya Pradesh,Hoshangabad,1169
2025-04,Madhya Pradesh,Indore,2959
2025-04,Madhya Pradesh,Jabalpur,2445
2025-04,Madhya Pradesh,Jhabua,524
2025-04,Madhya Pradesh,Katni,1672
2025-04,Madhya Pradesh,Khandwa,310
2025-04,Madhya Pradesh,Khargone,1569
2025-04,Madhya Pradesh,Maihar,49
2025-04,Madhya Pradesh,Mandla,618
2025-04,Madhya Pradesh,Mandsaur,1135
2025-04,Madhya Pradesh,Mauganj,30
2025-04,Madhya Pradesh,Morena,1966
2025-04,Madhya Pradesh,Narmadapuram,98
2025-04,Madhya Pradesh,Narsimhapur,130
2025-04,Madhya Pradesh,Narsinghpur,701
2025-04,Madhya Pradesh,Neemuch,702
2025-04,Madhya Pradesh,Niwari,20
2025-04,Madhya Pradesh,Pandhurna,12
2025-04,Madhya Pradesh,Panna,896
2025-04,Madhya Pradesh,Raisen,1379
2025-04,Madhya Pradesh,Rajgarh,1858
2025-04,Madhya Pradesh,Ratlam,2263
2025-04,Madhya Pradesh,Rewa,2152
2025-04,Madhya Pradesh,Sagar,1927
2025-04,Madhya Pradesh,Satna,1958
2025-04,Madhya Pradesh,Sehore,1241
2025-04,Madhya Pradesh,Seoni,716
2025-04,Madhya Pradesh,Shahdol,818
2025-04,Madhya Pradesh,Shajapur,1220
2025-04,Madhya Pradesh,Sheopur,512
2025-04,Madhya Pradesh,Shivpuri,1588
2025-04,Madhya Pradesh,Sidhi,812
2025-04,Madhya Pradesh,Singrauli,759
2025-04,Madhya Pradesh,Tikamgarh,1462
2025-04,Madhya Pradesh,Ujjain,2061
2025-04,Madhya Pradesh,Umaria,590
2025-04,Madhya Pradesh,Vidisha,1126
2025-04,Madhya Pradesh,West Nimar,144
2025-04,Maharashtra,Ahmadnagar,6716
2025-04,Maharashtra,Ahmed Nagar,151
2025-04,Maharashtra,Akola,2580
2025-04,Maharashtra,Amravati,4458
2025-04,Maharashtra,Aurangabad,4848
2025-04,Maharashtra,Beed,5107
2025-04,Maharashtra,Bhandara,1954
2025-04,Maharashtra,Bid,253
2025-04,Maharashtra,Buldana,771
2025-04,Maharashtra,Buldhana,4215
2025-04,Maharashtra,Chandrapur,3674
2025-04,Maharashtra,Chatrapati Sambhaji Nagar,22
2025-04,Maharashtra,Chhatrapati Sambhajinagar,79
2025-04,Maharashtra,Dharashiv,20
2025-04,Maharashtra,Dhule,2666
2025-04,Maharashtra,Gadchiroli,3376
2025-04,Maharashtra,Gondia,52
2025-04,Maharashtra,Gondiya,2023
2025-04,Maharashtra,Gondiya *,53
2025-04,Maharashtra,Hingoli,2461
2025-04,Maharashtra,Jalgaon,8348
2025-04,Maharashtra,Jalna,4189
2025-04,Maharashtra,Kolhapur,4237
2025-04,Maharashtra,Latur,3791
2025-04,Maharashtra,Mumbai,7656
2025-04,Maharashtra,Mumbai City,925
2025-04,Maharashtra,Mumbai Suburban,3049
2025-04,Maharashtra,Mumbai( Sub Urban ),191
2025-04,Maharashtra,Nagpur,6165
2025-04,Maharashtra,Nanded,5685
2025-04,Maharashtra,Nandurbar,3285
2025-04,Maharashtra,Nandurbar *,74
2025-04,Maharashtra,Nashik,12129
2025-04,Maharashtra,Osmanabad,2794
2025-04,Maharashtra,Palghar,2982
2025-04,Maharashtra,Parbhani,3946
2025-04,Maharashtra,Pune,11747
2025-04,Maharashtra,Raigad,268
2025-04,Maharashtra,Raigarh,3001
2025-04,Maharashtra,Raigarh(MH),27
2025-04,Maharashtra,Ratnagiri,3263
2025-04,Maharashtra,Sangli,4514
2025-04,Maharashtra,Satara,4443
2025-04,Maharashtra,Sindhudurg,828
2025-04,Maharashtra,Solapur,6633
2025-04,Maharashtra,Thane,10457
2025-04,Maharashtra,Wardha,2239
2025-04,Maharashtra,Washim,2691
2025-04,Maharashtra,Washim *,27
2025-04,Maharashtra,Yavatmal,7251
2025-04,Manipur,Bishnupur,691
2025-04,Manipur,Chandel,246
2025-04,Manipur,Churachandpur,384
2025-04,Manipur,Imphal East,1462
2025-04,Manipur,Imphal West,1479
2025-04,Manipur,Jiribam,41
2025-04,Manipur,Kakching,32
2025-04,Manipur,Senapati,509
2025-04,Manipur,Tamenglong,270
2025-04,Manipur,Thoubal,1115
2025-04,Manipur,Ukhrul,303
2025-04,Meghalaya,East Garo Hills,57
2025-04,Meghalaya,East Jaintia Hills,83
2025-04,Meghalaya,East Khasi Hills,503
2025-04,Meghalaya,Jaintia Hills,1
2025-04,Meghalaya,North Garo Hills,21
2025-04,Meghalaya,Ri Bhoi,61
2025-04,Meghalaya,South Garo Hills,21
2025-04,Meghalaya,South West Garo Hills,68
2025-04,Meghalaya,South West Khasi Hills,56
2025-04,Meghalaya,West Garo Hills,300
2025-04,Meghalaya,West Jaintia Hills,155
2025-04,Meghalaya,West Khasi Hills,132
2025-04,Mizoram,Aizawl,523
2025-04,Mizoram,Champhai,89
2025-04,Mizoram,Khawzawl,1
2025-04,Mizoram,Kolasib,97
2025-04,Mizoram,Lawngtlai,131
2025-04,Mizoram,Lunglei,81
2025-04,Mizoram,Mamit,88
2025-04,Mizoram,Mammit,21
2025-04,Mizoram,Saiha,43
2025-04,Mizoram,Saitual,3
2025-04,Mizoram,Serchhip,221
2025-04,Nagaland,Chumukedima,10
2025-04,Nagaland,Dimapur,300
2025-04,Nagaland,Kiphire,31
2025-04,Nagaland,Kohima,170
2025-04,Nagaland,Longleng,11
2025-04,Nagaland,Meluri,22
2025-04,Nagaland,Mokokchung,100
2025-04,Nagaland,Mon,120
2025-04,Nagaland,Niuland,4
2025-04,Nagaland,Noklak,10
2025-04,Nagaland,Peren,85
2025-04,Nagaland,Phek,97
2025-04,Nagaland,Shamator,5
2025-04,Nagaland,Tseminyu,2
2025-04,Nagaland,Tuensang,87
2025-04,Nagaland,Wokha,56
2025-04,Nagaland,Zunheboto,122
2025-04,ODISHA,NUAPADA,3
2025-04,Odisha,ANUGUL,2
2025-04,Odisha,Angul,701
2025-04,Odisha,Anugul,32
2025-04,Odisha,Balangir,1324
2025-04,Odisha,Baleshwar,433
2025-04,Odisha,Baleswar,1839
2025-04,Odisha,Bargarh,1120
2025-04,Odisha,Baudh,98
2025-04,Odisha,Bhadrak,1825
2025-04,Odisha,Boudh,411
2025-04,Odisha,Cuttack,2021
2025-04,Odisha,Debagarh,262
2025-04,Odisha,Dhenkanal,839
2025-04,Odisha,Gajapati,895
2025-04,Odisha,Ganjam,2821
2025-04,Odisha,JAJPUR,574
2025-04,Odisha,Jagatsinghapur,726
2025-04,Odisha,Jagatsinghpur,265
2025-04,Odisha,Jajapur,861
2025-04,Odisha,Jajpur,4
2025-04,Odisha,Jharsuguda,339
2025-04,Odisha,Kalahandi,1315
2025-04,Odisha,Kandhamal,734
2025-04,Odisha,Kendrapara,1007
2025-04,Odisha,Kendujhar,1397
2025-04,Odisha,Khorda,1184
2025-04,Odisha,Khordha,213
2025-04,Odisha,Koraput,1316
2025-04,Odisha,Malkangiri,624
2025-04,Odisha,Mayurbhanj,1960
2025-04,Odisha,NUAPADA,13
2025-04,Odisha,Nabarangapur,1049
2025-04,Odisha,Nayagarh,937
2025-04,Odisha,Nuapada,869
2025-04,Odisha,Puri,1274
2025-04,Odisha,Rayagada,985
2025-04,Odisha,Sambalpur,700
2025-04,Odisha,Sonapur,364
2025-04,Odisha,Subarnapur,89
2025-04,Odisha,Sundargarh,222
2025-04,Odisha,Sundergarh,1090
2025-04,Odisha,jajpur,4
2025-04,Orissa,Anugul,10
2025-04,Orissa,Balangir,147
2025-04,Orissa,Baleshwar,83
2025-04,Orissa,Bargarh,24
2025-04,Orissa,Baudh,1
2025-04,Orissa,Bhadrak,86
2025-04,Orissa,Cuttack,120
2025-04,Orissa,Dhenkanal,17
2025-04,Orissa,Gajapati,2
2025-04,Orissa,Ganjam,151
2025-04,Orissa,Jagatsinghapur,6
2025-04,Orissa,Jajapur,20
2025-04,Orissa,Jharsuguda,2
2025-04,Orissa,Kalahandi,2
2025-04,Orissa,Kandhamal,6
2025-04,Orissa,Kendrapara,7
2025-04,Orissa,Kendujhar,7
2025-04,Orissa,Khordha,213
2025-04,Orissa,Khordha  *,1
2025-04,Orissa,Koraput,31
2025-04,Orissa,Malkangiri,5
2025-04,Orissa,Mayurbhanj,2
2025-04,Orissa,Nayagarh,58
2025-04,Orissa,Puri,76
2025-04,Orissa,Rayagada,44
2025-04,Orissa,Sambalpur,4
2025-04,Orissa,Sonapur,1
2025-04,Orissa,Sundargarh,46
2025-04,Pondicherry,Cuddalore,2
2025-04,Pondicherry,Karaikal,92
2025-04,Pondicherry,Pondicherry,580
2025-04,Pondicherry,Viluppuram,1
2025-04,Pondicherry,Yanam,9
2025-04,Puducherry,Karaikal,259
2025-04,Puducherry,Pondicherry,2
2025-04,Puducherry,Puducherry,616
2025-04,Puducherry,Yanam,3
2025-04,Punjab,Amritsar,1697
2025-04,Punjab,Barnala,397
2025-04,Punjab,Bathinda,1377
2025-04,Punjab,Faridkot,765
2025-04,Punjab,Fatehgarh Sahib,636
2025-04,Punjab,Fazilka,799
2025-04,Punjab,Ferozepur,958
2025-04,Punjab,Firozpur,152
2025-04,Punjab,Gurdaspur,1427
2025-04,Punjab,Hoshiarpur,1055
2025-04,Punjab,Jalandhar,1793
2025-04,Punjab,Kapurthala,704
2025-04,Punjab,Ludhiana,2106
2025-04,Punjab,Malerkotla,116
2025-04,Punjab,Mansa,574
2025-04,Punjab,Moga,810
2025-04,Punjab,Muktsar,114
2025-04,Punjab,Nawanshahr,103
2025-04,Punjab,Pathankot,304
2025-04,Punjab,Patiala,1210
2025-04,Punjab,Rupnagar,508
2025-04,Punjab,S.A.S Nagar(Mohali),55
2025-04,Punjab,SAS Nagar (Mohali),520
2025-04,Punjab,Sangrur,872
2025-04,Punjab,Shaheed Bhagat Singh Nagar,402
