year_month,state,district,enrolment_total
2025-03,Telangana,Yadadri.,52
2025-03,Tripura,Dhalai,46
2025-03,Tripura,Gomati,26
2025-03,Tripura,Khowai,12
2025-03,Tripura,North Tripura,45
2025-03,Tripura,Sepahijala,33
2025-03,Tripura,South Tripura,66
2025-03,Tripura,Unakoti,12
2025-03,Tripura,West Tripura,70
2025-03,Uttar Pradesh,Agra,342
2025-03,Uttar Pradesh,Aligarh,284
2025-03,Uttar Pradesh,Allahabad,401
2025-03,Uttar Pradesh,Ambedkar Nagar,259
2025-03,Uttar Pradesh,Amethi,235
2025-03,Uttar Pradesh,Amroha,196
2025-03,Uttar Pradesh,Auraiya,125
2025-03,Uttar Pradesh,Ayodhya,17
2025-03,Uttar Pradesh,Azamgarh,443
2025-03,Uttar Pradesh,Baghpat,125
2025-03,Uttar Pradesh,Bahraich,522
2025-03,Uttar Pradesh,Ballia,273
2025-03,Uttar Pradesh,Balrampur,194
2025-03,Uttar Pradesh,Banda,187
2025-03,Uttar Pradesh,Bara Banki,257
2025-03,Uttar Pradesh,Barabanki,23
2025-03,Uttar Pradesh,Bareilly,413
2025-03,Uttar Pradesh,Basti,245
2025-03,Uttar Pradesh,Bhadohi,15
2025-03,Uttar Pradesh,Bijnor,340
2025-03,Uttar Pradesh,Budaun,287
2025-03,Uttar Pradesh,Bulandshahar,4
2025-03,Uttar Pradesh,Bulandshahr,318
2025-03,Uttar Pradesh,Chandauli,218
2025-03,Uttar Pradesh,Chitrakoot,95
2025-03,Uttar Pradesh,Deoria,254
2025-03,Uttar Pradesh,Etah,97
2025-03,Uttar Pradesh,Etawah,131
2025-03,Uttar Pradesh,Faizabad,196
2025-03,Uttar Pradesh,Farrukhabad,134
2025-03,Uttar Pradesh,Fatehpur,242
2025-03,Uttar Pradesh,Firozabad,186
2025-03,Uttar Pradesh,Gautam Buddha Nagar,170
2025-03,Uttar Pradesh,Ghaziabad,332
2025-03,Uttar Pradesh,Ghazipur,395
2025-03,Uttar Pradesh,Gonda,351
2025-03,Uttar Pradesh,Gorakhpur,344
2025-03,Uttar Pradesh,Hamirpur,133
2025-03,Uttar Pradesh,Hapur,87
2025-03,Uttar Pradesh,Hardoi,470
2025-03,Uttar Pradesh,Hathras,136
2025-03,Uttar Pradesh,Jalaun,142
2025-03,Uttar Pradesh,Jaunpur,433
2025-03,Uttar Pradesh,Jhansi,172
2025-03,Uttar Pradesh,Jyotiba Phule Nagar,3
2025-03,Uttar Pradesh,Kannauj,150
2025-03,Uttar Pradesh,Kanpur Dehat,161
2025-03,Uttar Pradesh,Kanpur Nagar,395
2025-03,Uttar Pradesh,Kasganj,123
2025-03,Uttar Pradesh,Kaushambi,168
2025-03,Uttar Pradesh,Kheri,532
2025-03,Uttar Pradesh,Kushinagar,288
2025-03,Uttar Pradesh,Lalitpur,115
2025-03,Uttar Pradesh,Lucknow,444
2025-03,Uttar Pradesh,Maharajganj,238
2025-03,Uttar Pradesh,Mahoba,89
2025-03,Uttar Pradesh,Mainpuri,219
2025-03,Uttar Pradesh,Mathura,244
2025-03,Uttar Pradesh,Mau,206
2025-03,Uttar Pradesh,Meerut,316
2025-03,Uttar Pradesh,Mirzapur,240
2025-03,Uttar Pradesh,Moradabad,211
2025-03,Uttar Pradesh,Muzaffarnagar,200
2025-03,Uttar Pradesh,Pilibhit,178
2025-03,Uttar Pradesh,Pratapgarh,261
2025-03,Uttar Pradesh,Prayagraj,32
2025-03,Uttar Pradesh,Rae Bareli,235
2025-03,Uttar Pradesh,Rampur,270
2025-03,Uttar Pradesh,Saharanpur,274
2025-03,Uttar Pradesh,Sambhal,243
2025-03,Uttar Pradesh,Sant Kabir Nagar,146
2025-03,Uttar Pradesh,Sant Ravidas Nagar,144
2025-03,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,3
2025-03,Uttar Pradesh,Shahjahanpur,370
2025-03,Uttar Pradesh,Shamli,161
2025-03,Uttar Pradesh,Shrawasti,133
2025-03,Uttar Pradesh,Siddharthnagar,314
2025-03,Uttar Pradesh,Sitapur,611
2025-03,Uttar Pradesh,Sonbhadra,162
2025-03,Uttar Pradesh,Sultanpur,289
2025-03,Uttar Pradesh,Unnao,278
2025-03,Uttar Pradesh,Varanasi,402
2025-03,Uttarakhand,Almora,34
2025-03,Uttarakhand,Bageshwar,23
2025-03,Uttarakhand,Chamoli,30
2025-03,Uttarakhand,Champawat,24
2025-03,Uttarakhand,Dehradun,173
2025-03,Uttarakhand,Hardwar,5
2025-03,Uttarakhand,Haridwar,150
2025-03,Uttarakhand,Nainital,98
2025-03,Uttarakhand,Pauri Garhwal,47
2025-03,Uttarakhand,Pithoragarh,39
2025-03,Uttarakhand,Rudraprayag,26
2025-03,Uttarakhand,Tehri Garhwal,63
2025-03,Uttarakhand,Udham Singh Nagar,133
2025-03,Uttarakhand,Uttarkashi,31
2025-03,West Bangal,Howrah,1
2025-03,West Bengal,Alipurduar,28
2025-03,West Bengal,Bankura,441
2025-03,West Bengal,Barddhaman,560
2025-03,West Bengal,Bardhaman,57
2025-03,West Bengal,Birbhum,430
2025-03,West Bengal,Cooch Behar,181
2025-03,West Bengal,Dakshin Dinajpur,188
2025-03,West Bengal,Darjeeling,113
2025-03,West Bengal,Darjiling,25
2025-03,West Bengal,East Midnapore,54
2025-03,West Bengal,Haora,91
2025-03,West Bengal,Hooghly,424
2025-03,West Bengal,Howrah,264
2025-03,West Bengal,Hugli,3
2025-03,West Bengal,Jalpaiguri,254
2025-03,West Bengal,Jhargram,15
2025-03,West Bengal,Kalimpong,11
2025-03,West Bengal,Koch Bihar,77
2025-03,West Bengal,Kolkata,258
2025-03,West Bengal,MALDA,1
2025-03,West Bengal,Malda,443
2025-03,West Bengal,Maldah,48
2025-03,West Bengal,Medinipur,2
2025-03,West Bengal,Murshidabad,1063
2025-03,West Bengal,Nadia,396
2025-03,West Bengal,North 24 Parganas,744
2025-03,West Bengal,North Dinajpur,9
2025-03,West Bengal,North Twenty Four Parganas,44
2025-03,West Bengal,Paschim Bardhaman,29
2025-03,West Bengal,Paschim Medinipur,455
2025-03,West Bengal,Purba Bardhaman,98
2025-03,West Bengal,Purba Medinipur,364
2025-03,West Bengal,Purulia,17
2025-03,West Bengal,Puruliya,311
2025-03,West Bengal,South 24 Parganas,879
2025-03,West Bengal,South Dinajpur,11
2025-03,West Bengal,South Twenty Four Parganas,122
2025-03,West Bengal,Uttar Dinajpur,708
2025-03,West Bengal,West Midnapore,51
2025-04,Andaman & Nicobar Islands,Andamans,3
2025-04,Andaman & Nicobar Islands,South Andaman,2
2025-04,Andaman and Nicobar Islands,Nicobar,4
2025-04,Andaman and Nicobar Islands,North And Middle Andaman,3
2025-04,Andaman and Nicobar Islands,South Andaman,5
2025-04,Andhra Pradesh,Adilabad,33
2025-04,Andhra Pradesh,Alluri Sitharama Raju,11
2025-04,Andhra Pradesh,Anakapalli,8
2025-04,Andhra Pradesh,Anantapur,62
2025-04,Andhra Pradesh,Ananthapur,20
2025-04,Andhra Pradesh,Ananthapuramu,48
2025-04,Andhra Pradesh,Annamayya,22
2025-04,Andhra Pradesh,Bapatla,4
2025-04,Andhra Pradesh,Chittoor,111
2025-04,Andhra Pradesh,Cuddapah,90
2025-04,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,4
2025-04,Andhra Pradesh,East Godavari,115
2025-04,Andhra Pradesh,Eluru,9
2025-04,Andhra Pradesh,Guntur,122
2025-04,Andhra Pradesh,Hyderabad,86
2025-04,Andhra Pradesh,K.V.Rangareddy,1
2025-04,Andhra Pradesh,K.v. Rangareddy,1
2025-04,Andhra Pradesh,Kakinada,11
2025-04,Andhra Pradesh,Karim Nagar,3
2025-04,Andhra Pradesh,Karimnagar,19
2025-04,Andhra Pradesh,Khammam,30
2025-04,Andhra Pradesh,Krishna,106
2025-04,Andhra Pradesh,Kurnool,182
2025-04,Andhra Pradesh,Mahabub Nagar,35
2025-04,Andhra Pradesh,Mahbubnagar,23
2025-04,Andhra Pradesh,Medak,27
2025-04,Andhra Pradesh,N. T. R,15
2025-04,Andhra Pradesh,Nalgonda,28
2025-04,Andhra Pradesh,Nandyal,6
2025-04,Andhra Pradesh,Nellore,80
2025-04,Andhra Pradesh,Nizamabad,12
2025-04,Andhra Pradesh,Palnadu,10
2025-04,Andhra Pradesh,Parvathipuram Manyam,5
2025-04,Andhra Pradesh,Prakasam,120
2025-04,Andhra Pradesh,Rangareddi,41
2025-04,Andhra Pradesh,Sri Potti Sriramulu Nellore,35
2025-04,Andhra Pradesh,Sri Sathya Sai,12
2025-04,Andhra Pradesh,Srikakulam,52
2025-04,Andhra Pradesh,Tirupati,10
2025-04,Andhra Pradesh,Visakhapatnam,93
2025-04,Andhra Pradesh,Vizianagaram,56
2025-04,Andhra Pradesh,Warangal,32
2025-04,Andhra Pradesh,West Godavari,87
2025-04,Andhra Pradesh,Y. S. R,9
2025-04,Arunachal Pradesh,Changlang,43
2025-04,Arunachal Pradesh,East Kameng,14
2025-04,Arunachal Pradesh,East Siang,3
2025-04,Arunachal Pradesh,Kamle,7
2025-04,Arunachal Pradesh,Kra Daadi,3
2025-04,Arunachal Pradesh,Kurung Kumey,1
2025-04,Arunachal Pradesh,Lohit,1
2025-04,Arunachal Pradesh,Longding,10
2025-04,Arunachal Pradesh,Lower Dibang Valley,1
2025-04,Arunachal Pradesh,Lower Siang,3
2025-04,Arunachal Pradesh,Lower Subansiri,4
2025-04,Arunachal Pradesh,Namsai,1
2025-04,Arunachal Pradesh,Papum Pare,4
2025-04,Arunachal Pradesh,Siang,2
2025-04,Arunachal Pradesh,Tirap,1
2025-04,Arunachal Pradesh,West Kameng,6
2025-04,Arunachal Pradesh,West Siang,5
2025-04,Assam,Baksa,49
2025-04,Assam,Barpeta,221
2025-04,Assam,Biswanath,23
2025-04,Assam,Bongaigaon,35
2025-04,Assam,Cachar,158
2025-04,Assam,Charaideo,16
2025-04,Assam,Chirang,34
2025-04,Assam,Darrang,77
2025-04,Assam,Dhemaji,56
2025-04,Assam,Dhubri,183
2025-04,Assam,Dibrugarh,78
2025-04,Assam,Goalpara,159
2025-04,Assam,Golaghat,104
2025-04,Assam,Hailakandi,108
2025-04,Assam,Hojai,61
2025-04,Assam,Jorhat,50
2025-04,Assam,Kamrup,151
2025-04,Assam,Kamrup Metro,48
2025-04,Assam,Karbi Anglong,56
2025-04,Assam,Karimganj,251
2025-04,Assam,Kokrajhar,42
2025-04,Assam,Lakhimpur,82
2025-04,Assam,Majuli,15
2025-04,Assam,Marigaon,97
2025-04,Assam,Nagaon,236
2025-04,Assam,Nalbari,161
2025-04,Assam,North Cachar Hills,13
2025-04,Assam,Sibsagar,40
2025-04,Assam,Sonitpur,111
2025-04,Assam,South Salmara Mankachar,24
2025-04,Assam,Sribhumi,3
2025-04,Assam,Tamulpur District,1
2025-04,Assam,Tinsukia,85
2025-04,Assam,Udalguri,57
2025-04,Assam,West Karbi Anglong,9
2025-04,Bihar,Araria,172
2025-04,Bihar,Arwal,59
2025-04,Bihar,Aurangabad,128
2025-04,Bihar,Aurangabad(bh),2
2025-04,Bihar,Banka,82
2025-04,Bihar,Begusarai,176
2025-04,Bihar,Bhabua,1
2025-04,Bihar,Bhagalpur,152
2025-04,Bihar,Bhojpur,147
2025-04,Bihar,Buxar,99
2025-04,Bihar,Darbhanga,253
2025-04,Bihar,East Champaran,342
2025-04,Bihar,Gaya,230
2025-04,Bihar,Gopalganj,136
2025-04,Bihar,Jamui,79
2025-04,Bihar,Jehanabad,32
2025-04,Bihar,Kaimur (Bhabua),130
2025-04,Bihar,Katihar,193
2025-04,Bihar,Khagaria,124
2025-04,Bihar,Kishanganj,134
2025-04,Bihar,Lakhisarai,41
2025-04,Bihar,Madhepura,192
2025-04,Bihar,Madhubani,237
2025-04,Bihar,Munger,68
2025-04,Bihar,Muzaffarpur,252
2025-04,Bihar,Nalanda,127
2025-04,Bihar,Nawada,228
2025-04,Bihar,Pashchim Champaran,3
2025-04,Bihar,Patna,292
2025-04,Bihar,Purba Champaran,10
2025-04,Bihar,Purnea,4
2025-04,Bihar,Purnia,204
2025-04,Bihar,Rohtas,118
2025-04,Bihar,Saharsa,156
2025-04,Bihar,Samastipur,229
2025-04,Bihar,Samstipur,3
2025-04,Bihar,Saran,258
2025-04,Bihar,Sheikhpura,43
2025-04,Bihar,Sheikpura,1
2025-04,Bihar,Sheohar,24
2025-04,Bihar,Sitamarhi,188
2025-04,Bihar,Siwan,225
2025-04,Bihar,Supaul,85
2025-04,Bihar,Vaishali,240
2025-04,Bihar,West Champaran,331
2025-04,Chandigarh,Chandigarh,34
2025-04,Chhattisgarh,Balod,15
2025-04,Chhattisgarh,Baloda Bazar,46
2025-04,Chhattisgarh,Balrampur,58
2025-04,Chhattisgarh,Bastar,43
2025-04,Chhattisgarh,Bemetara,31
2025-04,Chhattisgarh,Bijapur,36
2025-04,Chhattisgarh,Bilaspur,114
2025-04,Chhattisgarh,Dakshin Bastar Dantewada,9
2025-04,Chhattisgarh,Dantewada,6
2025-04,Chhattisgarh,Dhamtari,17
2025-04,Chhattisgarh,Durg,37
2025-04,Chhattisgarh,Gariyaband,31
2025-04,Chhattisgarh,Gaurela-pendra-marwahi,1
2025-04,Chhattisgarh,Janjgir - Champa,1
2025-04,Chhattisgarh,Janjgir-champa,61
2025-04,Chhattisgarh,Jashpur,4
2025-04,Chhattisgarh,Kabeerdham,13
2025-04,Chhattisgarh,Kanker,35
2025-04,Chhattisgarh,Kawardha,26
2025-04,Chhattisgarh,Khairagarh Chhuikhadan Gandai,1
2025-04,Chhattisgarh,Kondagaon,49
2025-04,Chhattisgarh,Korba,25
2025-04,Chhattisgarh,Koriya,7
2025-04,Chhattisgarh,Mahasamund,51
2025-04,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,3
2025-04,Chhattisgarh,Mungeli,23
2025-04,Chhattisgarh,Narayanpur,7
2025-04,Chhattisgarh,Raigarh,41
2025-04,Chhattisgarh,Raipur,107
2025-04,Chhattisgarh,Rajnandgaon,61
2025-04,Chhattisgarh,Sakti,10
2025-04,Chhattisgarh,Sukma,9
2025-04,Chhattisgarh,Surajpur,17
2025-04,Chhattisgarh,Surguja,33
2025-04,Chhattisgarh,Uttar Bastar Kanker,10
2025-04,Dadra and Nagar Haveli,Dadra and Nagar Haveli,7
2025-04,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,3
2025-04,Daman & Diu,Daman,1
2025-04,Delhi,Central Delhi,25
2025-04,Delhi,East Delhi,104
2025-04,Delhi,New Delhi,1
2025-04,Delhi,North Delhi,38
2025-04,Delhi,North East,27
2025-04,Delhi,North East Delhi,98
2025-04,Delhi,North West Delhi,208
2025-04,Delhi,Shahdara,2
2025-04,Delhi,South Delhi,153
2025-04,Delhi,South West Delhi,99
2025-04,Delhi,West Delhi,181
2025-04,Goa,North Goa,17
2025-04,Goa,South Goa,22
2025-04,Gujarat,Ahmadabad,18
2025-04,Gujarat,Ahmedabad,292
2025-04,Gujarat,Amreli,54
2025-04,Gujarat,Anand,49
2025-04,Gujarat,Arvalli,23
2025-04,Gujarat,Banas Kantha,1
2025-04,Gujarat,Banaskantha,241
2025-04,Gujarat,Bharuch,36
2025-04,Gujarat,Bhavnagar,108
2025-04,Gujarat,Botad,18
2025-04,Gujarat,Chhotaudepur,13
2025-04,Gujarat,Dahod,30
2025-04,Gujarat,Devbhumi Dwarka,27
2025-04,Gujarat,Dohad,9
2025-04,Gujarat,Gandhinagar,64
2025-04,Gujarat,Gir Somnath,37
2025-04,Gujarat,Jamnagar,73
2025-04,Gujarat,Junagadh,110
2025-04,Gujarat,Kachchh,87
2025-04,Gujarat,Kheda,63
2025-04,Gujarat,Mahesana,69
2025-04,Gujarat,Mahisagar,9
2025-04,Gujarat,Morbi,32
2025-04,Gujarat,Narmada,11
2025-04,Gujarat,Navsari,19
2025-04,Gujarat,Panch Mahals,1
2025-04,Gujarat,Panchmahals,26
2025-04,Gujarat,Patan,82
2025-04,Gujarat,Porbandar,28
2025-04,Gujarat,Rajkot,148
2025-04,Gujarat,Sabar Kantha,1
2025-04,Gujarat,Sabarkantha,74
2025-04,Gujarat,Surat,256
2025-04,Gujarat,Surendra Nagar,86
2025-04,Gujarat,Surendranagar,2
2025-04,Gujarat,Tapi,29
2025-04,Gujarat,The Dangs,21
2025-04,Gujarat,Vadodara,115
2025-04,Gujarat,Valsad,38
2025-04,Haryana,Ambala,13
2025-04,Haryana,Bhiwani,39
2025-04,Haryana,Charkhi Dadri,5
2025-04,Haryana,Faridabad,123
2025-04,Haryana,Fatehabad,13
2025-04,Haryana,Gurgaon,59
2025-04,Haryana,Hisar,47
2025-04,Haryana,Jhajjar,37
2025-04,Haryana,Jhajjar *,1
2025-04,Haryana,Jind,49
2025-04,Haryana,Kaithal,18
2025-04,Haryana,Karnal,51
2025-04,Haryana,Kurukshetra,36
2025-04,Haryana,Mahendragarh,41
2025-04,Haryana,Mewat,47
2025-04,Haryana,Palwal,35
2025-04,Haryana,Panchkula,12
2025-04,Haryana,Panipat,34
2025-04,Haryana,Rewari,24
2025-04,Haryana,Rohtak,20
2025-04,Haryana,Sirsa,24
2025-04,Haryana,Sonipat,37
2025-04,Haryana,Yamuna Nagar,57
2025-04,Haryana,Yamunanagar,2
2025-04,Himachal Pradesh,Bilaspur,10
2025-04,Himachal Pradesh,Chamba,3
2025-04,Himachal Pradesh,Hamirpur,16
2025-04,Himachal Pradesh,Kangra,47
2025-04,Himachal Pradesh,Kinnaur,2
2025-04,Himachal Pradesh,Lahul & Spiti,1
2025-04,Himachal Pradesh,Mandi,15
2025-04,Himachal Pradesh,Shimla,11
2025-04,Himachal Pradesh,Sirmaur,6
2025-04,Himachal Pradesh,Solan,10
2025-04,Himachal Pradesh,Una,14
2025-04,Jammu & Kashmir,Baramula,2
2025-04,Jammu & Kashmir,Jammu,1
2025-04,Jammu and Kashmir,Anantnag,35
2025-04,Jammu and Kashmir,Badgam,26
2025-04,Jammu and Kashmir,Bandipore,22
2025-04,Jammu and Kashmir,Baramula,52
2025-04,Jammu and Kashmir,Budgam,6
2025-04,Jammu and Kashmir,Doda,7
2025-04,Jammu and Kashmir,Ganderbal,10
2025-04,Jammu and Kashmir,Jammu,50
2025-04,Jammu and Kashmir,Kargil,7
2025-04,Jammu and Kashmir,Kathua,18
2025-04,Jammu and Kashmir,Kishtwar,2
2025-04,Jammu and Kashmir,Kulgam,18
2025-04,Jammu and Kashmir,Kupwara,58
2025-04,Jammu and Kashmir,Leh,1
2025-04,Jammu and Kashmir,Pulwama,25
2025-04,Jammu and Kashmir,Punch,17
2025-04,Jammu and Kashmir,Rajouri,28
2025-04,Jammu and Kashmir,Ramban,4
2025-04,Jammu and Kashmir,Reasi,8
2025-04,Jammu and Kashmir,Samba,3
2025-04,Jammu and Kashmir,Shupiyan,7
2025-04,Jammu and Kashmir,Srinagar,35
2025-04,Jammu and Kashmir,Udhampur,13
2025-04,Jharkhand,Bokaro,68
2025-04,Jharkhand,Chatra,19
2025-04,Jharkhand,Deoghar,52
2025-04,Jharkhand,Dhanbad,106
2025-04,Jharkhand,Dumka,37
2025-04,Jharkhand,East Singhbhum,60
2025-04,Jharkhand,Garhwa,42
2025-04,Jharkhand,Garhwa *,5
2025-04,Jharkhand,Giridih,159
2025-04,Jharkhand,Godda,26
2025-04,Jharkhand,Gumla,50
2025-04,Jharkhand,Hazaribag,1
2025-04,Jharkhand,Hazaribagh,40
2025-04,Jharkhand,Jamtara,51
2025-04,Jharkhand,Khunti,17
2025-04,Jharkhand,Kodarma,3
2025-04,Jharkhand,Koderma,31
2025-04,Jharkhand,Latehar,9
2025-04,Jharkhand,Lohardaga,7
2025-04,Jharkhand,Pakaur,12
2025-04,Jharkhand,Pakur,89
2025-04,Jharkhand,Palamau,4
2025-04,Jharkhand,Palamu,69
2025-04,Jharkhand,Pashchimi Singhbhum,6
2025-04,Jharkhand,Purbi Singhbhum,19
2025-04,Jharkhand,Ramgarh,14
2025-04,Jharkhand,Ranchi,67
2025-04,Jharkhand,Sahebganj,54
2025-04,Jharkhand,Seraikela-Kharsawan,26
2025-04,Jharkhand,Seraikela-kharsawan,3
2025-04,Jharkhand,Simdega,13
2025-04,Jharkhand,West Singhbhum,80
2025-04,Karnataka,Bagalkot,127
2025-04,Karnataka,Bagalkot *,5
2025-04,Karnataka,Ballari,68
2025-04,Karnataka,Bangalore,75
2025-04,Karnataka,Bangalore Rural,24
2025-04,Karnataka,Belagavi,143
2025-04,Karnataka,Belgaum,133
2025-04,Karnataka,Bellary,91
2025-04,Karnataka,Bengaluru,209
2025-04,Karnataka,Bidar,87
2025-04,Karnataka,Bijapur,107
2025-04,Karnataka,Chamarajanagar,6
2025-04,Karnataka,Chamrajanagar,53
2025-04,Karnataka,Chamrajnagar,11
2025-04,Karnataka,Chickmagalur,5
2025-04,Karnataka,Chikkaballapur,36
2025-04,Karnataka,Chikkamagaluru,16
2025-04,Karnataka,Chikmagalur,3
2025-04,Karnataka,Chitradurga,47
2025-04,Karnataka,Dakshina Kannada,57
2025-04,Karnataka,Davanagere,4
2025-04,Karnataka,Davangere,64
2025-04,Karnataka,Dharwad,77
2025-04,Karnataka,Gadag,106
2025-04,Karnataka,Gadag *,10
2025-04,Karnataka,Gulbarga,57
2025-04,Karnataka,Hasan,11
2025-04,Karnataka,Hassan,42
2025-04,Karnataka,Haveri,72
2025-04,Karnataka,Haveri *,1
2025-04,Karnataka,Kalaburagi,80
2025-04,Karnataka,Kodagu,12
2025-04,Karnataka,Kolar,68
2025-04,Karnataka,Koppal,99
2025-04,Karnataka,Mandya,55
2025-04,Karnataka,Mysore,40
2025-04,Karnataka,Mysuru,81
2025-04,Karnataka,Raichur,125
2025-04,Karnataka,Ramanagar,55
2025-04,Karnataka,Shimoga,39
2025-04,Karnataka,Shivamogga,23
2025-04,Karnataka,Tumakuru,39
2025-04,Karnataka,Tumkur,34
2025-04,Karnataka,Udupi,120
2025-04,Karnataka,Uttara Kannada,53
2025-04,Karnataka,Vijayanagara,50
2025-04,Karnataka,Vijayapura,137
2025-04,Karnataka,Yadgir,82
2025-04,Karnataka,yadgir,12
2025-04,Kerala,Alappuzha,5
2025-04,Kerala,Ernakulam,19
2025-04,Kerala,Idukki,8
2025-04,Kerala,Kannur,17
2025-04,Kerala,Kasaragod,15
2025-04,Kerala,Kasargod,1
2025-04,Kerala,Kollam,2
2025-04,Kerala,Kottayam,9
2025-04,Kerala,Kozhikode,35
2025-04,Kerala,Malappuram,106
2025-04,Kerala,Palakkad,15
2025-04,Kerala,Pathanamthitta,7
2025-04,Kerala,Thiruvananthapuram,10
2025-04,Kerala,Thrissur,27
2025-04,Kerala,Wayanad,4
2025-04,Ladakh,Kargil,5
2025-04,Ladakh,Leh,5
2025-04,Lakshadweep,Lakshadweep,2
2025-04,Madhya Pradesh,Agar Malwa,32
2025-04,Madhya Pradesh,Alirajpur,76
2025-04,Madhya Pradesh,Anuppur,30
2025-04,Madhya Pradesh,Ashok Nagar,149
2025-04,Madhya Pradesh,Balaghat,99
2025-04,Madhya Pradesh,Barwani,176
2025-04,Madhya Pradesh,Betul,76
2025-04,Madhya Pradesh,Bhind,108
2025-04,Madhya Pradesh,Bhopal,205
2025-04,Madhya Pradesh,Burhanpur,44
2025-04,Madhya Pradesh,Chhatarpur,193
2025-04,Madhya Pradesh,Chhindwara,136
2025-04,Madhya Pradesh,Damoh,88
2025-04,Madhya Pradesh,Datia,135
2025-04,Madhya Pradesh,Dewas,113
2025-04,Madhya Pradesh,Dhar,59
2025-04,Madhya Pradesh,Dindori,34
2025-04,Madhya Pradesh,East Nimar,49
2025-04,Madhya Pradesh,Guna,204
2025-04,Madhya Pradesh,Gwalior,173
2025-04,Madhya Pradesh,Harda,22
2025-04,Madhya Pradesh,Harda *,11
2025-04,Madhya Pradesh,Hoshangabad,97
2025-04,Madhya Pradesh,Indore,128
2025-04,Madhya Pradesh,Jabalpur,167
2025-04,Madhya Pradesh,Jhabua,59
2025-04,Madhya Pradesh,Katni,87
2025-04,Madhya Pradesh,Khandwa,51
2025-04,Madhya Pradesh,Khargone,202
2025-04,Madhya Pradesh,Maihar,5
2025-04,Madhya Pradesh,Mandla,52
2025-04,Madhya Pradesh,Mandsaur,53
2025-04,Madhya Pradesh,Mauganj,9
2025-04,Madhya Pradesh,Morena,201
2025-04,Madhya Pradesh,Narmadapuram,9
2025-04,Madhya Pradesh,Narsimhapur,20
2025-04,Madhya Pradesh,Narsinghpur,63
2025-04,Madhya Pradesh,Neemuch,79
2025-04,Madhya Pradesh,Niwari,5
2025-04,Madhya Pradesh,Pandhurna,1
2025-04,Madhya Pradesh,Panna,144
2025-04,Madhya Pradesh,Raisen,168
2025-04,Madhya Pradesh,Rajgarh,135
2025-04,Madhya Pradesh,Ratlam,71
2025-04,Madhya Pradesh,Rewa,143
2025-04,Madhya Pradesh,Sagar,139
2025-04,Madhya Pradesh,Satna,181
2025-04,Madhya Pradesh,Sehore,68
2025-04,Madhya Pradesh,Seoni,95
2025-04,Madhya Pradesh,Shahdol,33
2025-04,Madhya Pradesh,Shajapur,112
2025-04,Madhya Pradesh,Sheopur,61
2025-04,Madhya Pradesh,Shivpuri,194
2025-04,Madhya Pradesh,Sidhi,68
2025-04,Madhya Pradesh,Singrauli,83
2025-04,Madhya Pradesh,Tikamgarh,137
2025-04,Madhya Pradesh,Ujjain,250
2025-04,Madhya Pradesh,Umaria,85
2025-04,Madhya Pradesh,Vidisha,140
2025-04,Madhya Pradesh,West Nimar,23
2025-04,Maharashtra,Ahmadnagar,206
2025-04,Maharashtra,Ahmed Nagar,3
2025-04,Maharashtra,Akola,73
2025-04,Maharashtra,Amravati,92
2025-04,Maharashtra,Aurangabad,223
2025-04,Maharashtra,Beed,145
2025-04,Maharashtra,Bhandara,32
2025-04,Maharashtra,Bid,14
2025-04,Maharashtra,Buldana,23
2025-04,Maharashtra,Buldhana,83
2025-04,Maharashtra,Chandrapur,56
2025-04,Maharashtra,Chatrapati Sambhaji Nagar,7
2025-04,Maharashtra,Chhatrapati Sambhajinagar,11
2025-04,Maharashtra,Dharashiv,1
2025-04,Maharashtra,Dhule,168
2025-04,Maharashtra,Gadchiroli,50
2025-04,Maharashtra,Gondiya,61
2025-04,Maharashtra,Gondiya *,1
2025-04,Maharashtra,Hingoli,75
2025-04,Maharashtra,Jalgaon,227
2025-04,Maharashtra,Jalna,110
2025-04,Maharashtra,Kolhapur,128
2025-04,Maharashtra,Latur,127
2025-04,Maharashtra,Mumbai,158
2025-04,Maharashtra,Mumbai City,35
2025-04,Maharashtra,Mumbai Suburban,119
2025-04,Maharashtra,Mumbai( Sub Urban ),1
2025-04,Maharashtra,Nagpur,150
2025-04,Maharashtra,Nanded,185
2025-04,Maharashtra,Nandurbar,88
2025-04,Maharashtra,Nandurbar *,2
2025-04,Maharashtra,Nashik,321
2025-04,Maharashtra,Osmanabad,69
2025-04,Maharashtra,Palghar,88
2025-04,Maharashtra,Parbhani,116
2025-04,Maharashtra,Pune,349
2025-04,Maharashtra,Raigad,24
2025-04,Maharashtra,Raigarh,58
2025-04,Maharashtra,Ratnagiri,32
2025-04,Maharashtra,Sangli,100
2025-04,Maharashtra,Satara,93
2025-04,Maharashtra,Sindhudurg,18
2025-04,Maharashtra,Solapur,179
2025-04,Maharashtra,Thane,312
2025-04,Maharashtra,Wardha,28
2025-04,Maharashtra,Washim,41
2025-04,Maharashtra,Washim *,1
2025-04,Maharashtra,Yavatmal,111
2025-04,Manipur,Bishnupur,18
2025-04,Manipur,Chandel,20
2025-04,Manipur,Churachandpur,29
2025-04,Manipur,Imphal East,21
2025-04,Manipur,Imphal West,12
2025-04,Manipur,Jiribam,1
