year_month,state,district,demographic_total
2025-04,Andhra Pradesh,Khammam,1433
2025-04,Andhra Pradesh,Krishna,3135
2025-04,Andhra Pradesh,Kurnool,3546
2025-04,Andhra Pradesh,Mahabub Nagar,751
2025-04,Andhra Pradesh,Mahabubnagar,6
2025-04,Andhra Pradesh,Mahbubnagar,473
2025-04,Andhra Pradesh,Medak,771
2025-04,Andhra Pradesh,N. T. R,759
2025-04,Andhra Pradesh,Nalgonda,2441
2025-04,Andhra Pradesh,Nandyal,395
2025-04,Andhra Pradesh,Nellore,2681
2025-04,Andhra Pradesh,Nizamabad,532
2025-04,Andhra Pradesh,Palnadu,436
2025-04,Andhra Pradesh,Parvathipuram Manyam,225
2025-04,Andhra Pradesh,Prakasam,3991
2025-04,Andhra Pradesh,Rangareddi,1418
2025-04,Andhra Pradesh,Sri Potti Sriramulu Nellore,468
2025-04,Andhra Pradesh,Sri Sathya Sai,517
2025-04,Andhra Pradesh,Srikakulam,3056
2025-04,Andhra Pradesh,Tirupati,514
2025-04,Andhra Pradesh,Visakhapatnam,4094
2025-04,Andhra Pradesh,Vizianagaram,2403
2025-04,Andhra Pradesh,Warangal,2209
2025-04,Andhra Pradesh,West Godavari,3829
2025-04,Andhra Pradesh,Y. S. R,448
2025-04,Arunachal Pradesh,Anjaw,45
2025-04,Arunachal Pradesh,Changlang,177
2025-04,Arunachal Pradesh,Dibang Valley,3
2025-04,Arunachal Pradesh,East Kameng,118
2025-04,Arunachal Pradesh,East Siang,93
2025-04,Arunachal Pradesh,Kra Daadi,5
2025-04,Arunachal Pradesh,Kurung Kumey,5
2025-04,Arunachal Pradesh,Lohit,94
2025-04,Arunachal Pradesh,Longding,25
2025-04,Arunachal Pradesh,Lower Dibang Valley,29
2025-04,Arunachal Pradesh,Lower Siang,24
2025-04,Arunachal Pradesh,Lower Subansiri,45
2025-04,Arunachal Pradesh,Namsai,79
2025-04,Arunachal Pradesh,Pakke Kessang,2
2025-04,Arunachal Pradesh,Papum Pare,176
2025-04,Arunachal Pradesh,Shi-yomi,10
2025-04,Arunachal Pradesh,Siang,49
2025-04,Arunachal Pradesh,Tawang,54
2025-04,Arunachal Pradesh,Tirap,25
2025-04,Arunachal Pradesh,Upper Siang,45
2025-04,Arunachal Pradesh,Upper Subansiri,23
2025-04,Arunachal Pradesh,West Kameng,74
2025-04,Arunachal Pradesh,West Siang,131
2025-04,Assam,Bajali,22
2025-04,Assam,Baksa,549
2025-04,Assam,Barpeta,2099
2025-04,Assam,Biswanath,267
2025-04,Assam,Bongaigaon,680
2025-04,Assam,Cachar,1568
2025-04,Assam,Charaideo,281
2025-04,Assam,Chirang,598
2025-04,Assam,Darrang,851
2025-04,Assam,Dhemaji,512
2025-04,Assam,Dhubri,3173
2025-04,Assam,Dibrugarh,962
2025-04,Assam,Dima Hasao,6
2025-04,Assam,Goalpara,1454
2025-04,Assam,Golaghat,822
2025-04,Assam,Hailakandi,831
2025-04,Assam,Hojai,711
2025-04,Assam,Jorhat,555
2025-04,Assam,Kamrup,1823
2025-04,Assam,Kamrup Metro,943
2025-04,Assam,Karbi Anglong,793
2025-04,Assam,Karimganj,1645
2025-04,Assam,Kokrajhar,764
2025-04,Assam,Lakhimpur,1095
2025-04,Assam,Majuli,127
2025-04,Assam,Marigaon,1696
2025-04,Assam,Nagaon,3386
2025-04,Assam,Nalbari,797
2025-04,Assam,North Cachar Hills,119
2025-04,Assam,Sibsagar,560
2025-04,Assam,Sonitpur,1230
2025-04,Assam,South Salmara Mankachar,642
2025-04,Assam,Sribhumi,139
2025-04,Assam,Tamulpur District,37
2025-04,Assam,Tinsukia,1163
2025-04,Assam,Udalguri,676
2025-04,Assam,West Karbi Anglong,20
2025-04,Bihar,Araria,6306
2025-04,Bihar,Arwal,1290
2025-04,Bihar,Aurangabad,3353
2025-04,Bihar,Aurangabad(bh),21
2025-04,Bihar,Banka,3916
2025-04,Bihar,Begusarai,4470
2025-04,Bihar,Bhabua,3
2025-04,Bihar,Bhagalpur,4841
2025-04,Bihar,Bhojpur,4892
2025-04,Bihar,Buxar,2482
2025-04,Bihar,Darbhanga,5891
2025-04,Bihar,East Champaran,9821
2025-04,Bihar,Gaya,6114
2025-04,Bihar,Gopalganj,4039
2025-04,Bihar,Jamui,2633
2025-04,Bihar,Jehanabad,2047
2025-04,Bihar,Kaimur (Bhabua),3546
2025-04,Bihar,Katihar,7146
2025-04,Bihar,Khagaria,3378
2025-04,Bihar,Kishanganj,5777
2025-04,Bihar,Lakhisarai,2015
2025-04,Bihar,Madhepura,3292
2025-04,Bihar,Madhubani,8166
2025-04,Bihar,Monghyr,16
2025-04,Bihar,Munger,2226
2025-04,Bihar,Muzaffarpur,7638
2025-04,Bihar,Nalanda,7223
2025-04,Bihar,Nawada,3152
2025-04,Bihar,Pashchim Champaran,34
2025-04,Bihar,Patna,9479
2025-04,Bihar,Purba Champaran,31
2025-04,Bihar,Purnea,115
2025-04,Bihar,Purnia,5293
2025-04,Bihar,Rohtas,4580
2025-04,Bihar,Saharsa,2640
2025-04,Bihar,Samastipur,7241
2025-04,Bihar,Samstipur,16
2025-04,Bihar,Saran,6614
2025-04,Bihar,Sheikhpura,1135
2025-04,Bihar,Sheikpura,8
2025-04,Bihar,Sheohar,1380
2025-04,Bihar,Sitamarhi,5808
2025-04,Bihar,Siwan,5163
2025-04,Bihar,Supaul,4601
2025-04,Bihar,Vaishali,5442
2025-04,Bihar,West Champaran,9660
2025-04,Chandigarh,Chandigarh,1270
2025-04,Chandigarh,Rupnagar,3
2025-04,Chhatisgarh,Raipur,2
2025-04,Chhattisgarh,Balod,1112
2025-04,Chhattisgarh,Baloda Bazar,3565
2025-04,Chhattisgarh,Balrampur,1338
2025-04,Chhattisgarh,Bastar,2087
2025-04,Chhattisgarh,Bemetara,1073
2025-04,Chhattisgarh,Bijapur,366
2025-04,Chhattisgarh,Bilaspur,4494
2025-04,Chhattisgarh,Dakshin Bastar Dantewada,176
2025-04,Chhattisgarh,Dantewada,79
2025-04,Chhattisgarh,Dhamtari,1091
2025-04,Chhattisgarh,Durg,1670
2025-04,Chhattisgarh,Gariyaband,1135
2025-04,Chhattisgarh,Gaurela-pendra-marwahi,67
2025-04,Chhattisgarh,Janjgir - Champa,4
2025-04,Chhattisgarh,Janjgir Champa,11
2025-04,Chhattisgarh,Janjgir-champa,2138
2025-04,Chhattisgarh,Jashpur,1512
2025-04,Chhattisgarh,Kabeerdham,426
2025-04,Chhattisgarh,Kanker,1054
2025-04,Chhattisgarh,Kawardha,1409
2025-04,Chhattisgarh,Khairagarh Chhuikhadan Gandai,148
2025-04,Chhattisgarh,Kondagaon,1352
2025-04,Chhattisgarh,Korba,1047
2025-04,Chhattisgarh,Koriya,1001
2025-04,Chhattisgarh,Mahasamund,2054
2025-04,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,156
2025-04,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,7
2025-04,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,324
2025-04,Chhattisgarh,Mungeli,1183
2025-04,Chhattisgarh,Narayanpur,290
2025-04,Chhattisgarh,Raigarh,2377
2025-04,Chhattisgarh,Raipur,2442
2025-04,Chhattisgarh,Rajnandgaon,2606
2025-04,Chhattisgarh,Sakti,247
2025-04,Chhattisgarh,Sarangarh-Bilaigarh,217
2025-04,Chhattisgarh,Sukma,429
2025-04,Chhattisgarh,Surajpur,1655
2025-04,Chhattisgarh,Surguja,2389
2025-04,Chhattisgarh,Uttar Bastar Kanker,578
2025-04,Dadra & Nagar Haveli,Dadra & Nagar Haveli,21
2025-04,Dadra and Nagar Haveli,Dadra and Nagar Haveli,193
2025-04,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,38
2025-04,Dadra and Nagar Haveli and Daman and Diu,Daman,29
2025-04,Dadra and Nagar Haveli and Daman and Diu,Diu,12
2025-04,Daman & Diu,Daman,15
2025-04,Daman & Diu,Diu,13
2025-04,Daman and Diu,Daman,43
2025-04,Daman and Diu,Diu,45
2025-04,Delhi,Central Delhi,653
2025-04,Delhi,East Delhi,1868
2025-04,Delhi,Najafgarh,9
2025-04,Delhi,New Delhi,93
2025-04,Delhi,North Delhi,675
2025-04,Delhi,North East,593
2025-04,Delhi,North East Delhi,1713
2025-04,Delhi,North West Delhi,3601
2025-04,Delhi,Shahdara,359
2025-04,Delhi,South Delhi,3034
2025-04,Delhi,South East Delhi,37
2025-04,Delhi,South West Delhi,1895
2025-04,Delhi,West Delhi,3430
2025-04,Goa,North Goa,690
2025-04,Goa,South Goa,622
2025-04,Gujarat,Ahmadabad,414
2025-04,Gujarat,Ahmedabad,5998
2025-04,Gujarat,Amreli,897
2025-04,Gujarat,Anand,1216
2025-04,Gujarat,Arvalli,264
2025-04,Gujarat,Banas Kantha,23
2025-04,Gujarat,Banaskantha,2190
2025-04,Gujarat,Bharuch,1102
2025-04,Gujarat,Bhavnagar,2059
2025-04,Gujarat,Botad,215
2025-04,Gujarat,Chhotaudepur,256
2025-04,Gujarat,Dahod,1094
2025-04,Gujarat,Devbhumi Dwarka,225
2025-04,Gujarat,Dohad,208
2025-04,Gujarat,Gandhinagar,1283
2025-04,Gujarat,Gir Somnath,315
2025-04,Gujarat,Jamnagar,1704
2025-04,Gujarat,Junagadh,1460
2025-04,Gujarat,Kachchh,1982
2025-04,Gujarat,Kheda,1552
2025-04,Gujarat,Mahesana,1532
2025-04,Gujarat,Mahisagar,222
2025-04,Gujarat,Morbi,332
2025-04,Gujarat,Narmada,369
2025-04,Gujarat,Navsari,763
2025-04,Gujarat,Panch Mahals,30
2025-04,Gujarat,Panchmahals,1289
2025-04,Gujarat,Patan,1184
2025-04,Gujarat,Porbandar,587
2025-04,Gujarat,Rajkot,3009
2025-04,Gujarat,Sabar Kantha,37
2025-04,Gujarat,Sabarkantha,1539
2025-04,Gujarat,Surat,5940
2025-04,Gujarat,Surendra Nagar,903
2025-04,Gujarat,Surendranagar,24
2025-04,Gujarat,Tapi,378
2025-04,Gujarat,The Dangs,128
2025-04,Gujarat,Vadodara,2873
2025-04,Gujarat,Valsad,1013
2025-04,Haryana,Ambala,621
2025-04,Haryana,Bhiwani,816
2025-04,Haryana,Charkhi Dadri,193
2025-04,Haryana,Faridabad,2515
2025-04,Haryana,Fatehabad,496
2025-04,Haryana,Gurgaon,2015
2025-04,Haryana,Hisar,1170
2025-04,Haryana,Jhajjar,575
2025-04,Haryana,Jind,636
2025-04,Haryana,Kaithal,576
2025-04,Haryana,Karnal,723
2025-04,Haryana,Kurukshetra,626
2025-04,Haryana,Mahendragarh,662
2025-04,Haryana,Mewat,1691
2025-04,Haryana,Palwal,1145
2025-04,Haryana,Panchkula,635
2025-04,Haryana,Panipat,925
2025-04,Haryana,Rewari,834
2025-04,Haryana,Rohtak,626
2025-04,Haryana,Sirsa,752
2025-04,Haryana,Sonipat,914
2025-04,Haryana,Yamuna Nagar,945
2025-04,Haryana,Yamunanagar,17
2025-04,Himachal Pradesh,Bilaspur,254
2025-04,Himachal Pradesh,Chamba,531
2025-04,Himachal Pradesh,Hamirpur,266
2025-04,Himachal Pradesh,Kangra,993
2025-04,Himachal Pradesh,Kinnaur,30
2025-04,Himachal Pradesh,Kullu,191
2025-04,Himachal Pradesh,Lahaul and Spiti,4
2025-04,Himachal Pradesh,Lahul & Spiti,5
2025-04,Himachal Pradesh,Lahul and Spiti,2
2025-04,Himachal Pradesh,Mandi,534
2025-04,Himachal Pradesh,Shimla,411
2025-04,Himachal Pradesh,Sirmaur,296
2025-04,Himachal Pradesh,Solan,300
2025-04,Himachal Pradesh,Una,359
2025-04,Jammu & Kashmir,Baramula,8
2025-04,Jammu & Kashmir,Jammu,18
2025-04,Jammu & Kashmir,Leh (ladakh),1
2025-04,Jammu & Kashmir,Udhampur,2
2025-04,Jammu and Kashmir,Anantnag,745
2025-04,Jammu and Kashmir,Badgam,429
2025-04,Jammu and Kashmir,Bandipore,312
2025-04,Jammu and Kashmir,Baramula,912
2025-04,Jammu and Kashmir,Budgam,169
2025-04,Jammu and Kashmir,Doda,372
2025-04,Jammu and Kashmir,Ganderbal,177
2025-04,Jammu and Kashmir,Jammu,938
2025-04,Jammu and Kashmir,Kargil,87
2025-04,Jammu and Kashmir,Kathua,488
2025-04,Jammu and Kashmir,Kishtwar,107
2025-04,Jammu and Kashmir,Kulgam,215
2025-04,Jammu and Kashmir,Kupwara,550
2025-04,Jammu and Kashmir,Leh,53
2025-04,Jammu and Kashmir,Pulwama,348
2025-04,Jammu and Kashmir,Punch,449
2025-04,Jammu and Kashmir,Rajouri,458
2025-04,Jammu and Kashmir,Ramban,181
2025-04,Jammu and Kashmir,Reasi,113
2025-04,Jammu and Kashmir,Samba,114
2025-04,Jammu and Kashmir,Shupiyan,191
2025-04,Jammu and Kashmir,Srinagar,1122
2025-04,Jammu and Kashmir,Udhampur,403
2025-04,Jharkhand,Bokaro,1897
2025-04,Jharkhand,Chatra,1400
2025-04,Jharkhand,Deoghar,1313
2025-04,Jharkhand,Dhanbad,2217
2025-04,Jharkhand,Dumka,1652
2025-04,Jharkhand,East Singhbhum,2036
2025-04,Jharkhand,Garhwa,1000
2025-04,Jharkhand,Garhwa *,133
2025-04,Jharkhand,Giridih,2571
2025-04,Jharkhand,Godda,1987
2025-04,Jharkhand,Gumla,1319
2025-04,Jharkhand,Hazaribag,281
2025-04,Jharkhand,Hazaribagh,1571
2025-04,Jharkhand,Jamtara,781
2025-04,Jharkhand,Khunti,609
2025-04,Jharkhand,Kodarma,157
2025-04,Jharkhand,Koderma,522
2025-04,Jharkhand,Latehar,879
2025-04,Jharkhand,Lohardaga,421
2025-04,Jharkhand,Pakaur,101
2025-04,Jharkhand,Pakur,641
2025-04,Jharkhand,Palamau,124
2025-04,Jharkhand,Palamu,3211
2025-04,Jharkhand,Pashchimi Singhbhum,274
2025-04,Jharkhand,Purbi Singhbhum,268
2025-04,Jharkhand,Ramgarh,887
2025-04,Jharkhand,Ranchi,2360
2025-04,Jharkhand,Sahebganj,2074
2025-04,Jharkhand,Sahibganj,78
2025-04,Jharkhand,Seraikela-Kharsawan,788
2025-04,Jharkhand,Seraikela-kharsawan,218
2025-04,Jharkhand,Simdega,796
2025-04,Jharkhand,West Singhbhum,1941
2025-04,Karnataka,Bagalkot,1256
2025-04,Karnataka,Bagalkot *,45
2025-04,Karnataka,Ballari,390
2025-04,Karnataka,Bangalore,2552
2025-04,Karnataka,Bangalore Rural,838
2025-04,Karnataka,Belagavi,1358
2025-04,Karnataka,Belgaum,2176
2025-04,Karnataka,Bellary,1070
2025-04,Karnataka,Bengaluru,5289
2025-04,Karnataka,Bengaluru Rural,1
2025-04,Karnataka,Bengaluru South,101
2025-04,Karnataka,Bidar,1413
2025-04,Karnataka,Bijapur,1075
2025-04,Karnataka,Chamarajanagar,75
2025-04,Karnataka,Chamarajanagar *,3
2025-04,Karnataka,Chamrajanagar,477
2025-04,Karnataka,Chamrajnagar,129
2025-04,Karnataka,Chickmagalur,433
2025-04,Karnataka,Chikkaballapur,1114
2025-04,Karnataka,Chikkamagaluru,249
2025-04,Karnataka,Chikmagalur,40
2025-04,Karnataka,Chitradurga,1331
2025-04,Karnataka,Dakshina Kannada,1643
2025-04,Karnataka,Davanagere,125
2025-04,Karnataka,Davangere,891
2025-04,Karnataka,Dharwad,1242
2025-04,Karnataka,Gadag,652
2025-04,Karnataka,Gadag *,49
2025-04,Karnataka,Gulbarga,1080
2025-04,Karnataka,Hasan,439
2025-04,Karnataka,Hassan,865
2025-04,Karnataka,Haveri,965
2025-04,Karnataka,Haveri *,41
2025-04,Karnataka,Kalaburagi,850
2025-04,Karnataka,Kodagu,404
2025-04,Karnataka,Kolar,1231
2025-04,Karnataka,Koppal,954
2025-04,Karnataka,Mandya,1207
2025-04,Karnataka,Mysore,1060
2025-04,Karnataka,Mysuru,726
2025-04,Karnataka,Raichur,1287
2025-04,Karnataka,Ramanagar,775
2025-04,Karnataka,Shimoga,720
2025-04,Karnataka,Shivamogga,538
2025-04,Karnataka,Tumakuru,629
2025-04,Karnataka,Tumkur,1070
2025-04,Karnataka,Udupi,893
2025-04,Karnataka,Uttara Kannada,940
2025-04,Karnataka,Vijayanagara,275
2025-04,Karnataka,Vijayapura,869
2025-04,Karnataka,Yadgir,814
2025-04,Karnataka,yadgir,106
2025-04,Kerala,Alappuzha,1482
2025-04,Kerala,Ernakulam,2568
2025-04,Kerala,Idukki,687
2025-04,Kerala,Kannur,2298
2025-04,Kerala,Kasaragod,1170
2025-04,Kerala,Kasargod,97
2025-04,Kerala,Kollam,2071
2025-04,Kerala,Kottayam,1348
2025-04,Kerala,Kozhikode,3255
2025-04,Kerala,Malappuram,6733
2025-04,Kerala,Palakkad,2101
2025-04,Kerala,Pathanamthitta,895
2025-04,Kerala,Thiruvananthapuram,2287
2025-04,Kerala,Thrissur,2222
2025-04,Kerala,Wayanad,634
2025-04,Ladakh,Kargil,70
2025-04,Ladakh,Leh,47
2025-04,Lakshadweep,Lakshadweep,32
2025-04,Madhya Pradesh,Agar Malwa,164
2025-04,Madhya Pradesh,Alirajpur,731
2025-04,Madhya Pradesh,Anuppur,553
2025-04,Madhya Pradesh,Ashok Nagar,823
2025-04,Madhya Pradesh,Balaghat,1218
2025-04,Madhya Pradesh,Barwani,1171
2025-04,Madhya Pradesh,Betul,989
2025-04,Madhya Pradesh,Bhind,1643
2025-04,Madhya Pradesh,Bhopal,1661
2025-04,Madhya Pradesh,Burhanpur,389
2025-04,Madhya Pradesh,Chhatarpur,1834
2025-04,Madhya Pradesh,Chhindwara,1356
2025-04,Madhya Pradesh,Damoh,1068
2025-04,Madhya Pradesh,Datia,1001
2025-04,Madhya Pradesh,Dewas,907
2025-04,Madhya Pradesh,Dhar,1604
2025-04,Madhya Pradesh,Dindori,586
2025-04,Madhya Pradesh,East Nimar,284
2025-04,Madhya Pradesh,Guna,965
2025-04,Madhya Pradesh,Gwalior,2112
2025-04,Madhya Pradesh,Harda,143
2025-04,Madhya Pradesh,Harda *,56
2025-04,Madhya Pradesh,Hoshangabad,408
2025-04,Madhya Pradesh,Indore,2726
2025-04,Madhya Pradesh,Jabalpur,2363
2025-04,Madhya Pradesh,Jhabua,1106
2025-04,Madhya Pradesh,Katni,1260
2025-04,Madhya Pradesh,Khandwa,355
2025-04,Madhya Pradesh,Khargone,982
2025-04,Madhya Pradesh,Maihar,86
2025-04,Madhya Pradesh,Mandla,890
2025-04,Madhya Pradesh,Mandsaur,825
2025-04,Madhya Pradesh,Mauganj,92
2025-04,Madhya Pradesh,Morena,1994
2025-04,Madhya Pradesh,Narmadapuram,139
2025-04,Madhya Pradesh,Narsimhapur,196
2025-04,Madhya Pradesh,Narsinghpur,540
2025-04,Madhya Pradesh,Neemuch,637
2025-04,Madhya Pradesh,Niwari,46
2025-04,Madhya Pradesh,Pandhurna,23
2025-04,Madhya Pradesh,Panna,928
2025-04,Madhya Pradesh,Raisen,1014
2025-04,Madhya Pradesh,Rajgarh,795
2025-04,Madhya Pradesh,Ratlam,866
2025-04,Madhya Pradesh,Rewa,1977
2025-04,Madhya Pradesh,Sagar,1721
2025-04,Madhya Pradesh,Satna,1767
2025-04,Madhya Pradesh,Sehore,507
2025-04,Madhya Pradesh,Seoni,1112
2025-04,Madhya Pradesh,Shahdol,950
2025-04,Madhya Pradesh,Shajapur,812
2025-04,Madhya Pradesh,Sheopur,744
2025-04,Madhya Pradesh,Shivpuri,1649
2025-04,Madhya Pradesh,Sidhi,1057
2025-04,Madhya Pradesh,Singrauli,1030
2025-04,Madhya Pradesh,Tikamgarh,1220
2025-04,Madhya Pradesh,Ujjain,1431
2025-04,Madhya Pradesh,Umaria,492
2025-04,Madhya Pradesh,Vidisha,1071
2025-04,Madhya Pradesh,West Nimar,85
2025-04,Maharashtra,Ahmadnagar,11083
2025-04,Maharashtra,Ahmed Nagar,284
2025-04,Maharashtra,Akola,2507
2025-04,Maharashtra,Amravati,4470
2025-04,Maharashtra,Aurangabad,6318
2025-04,Maharashtra,Beed,7100
2025-04,Maharashtra,Bhandara,1682
2025-04,Maharashtra,Bid,715
2025-04,Maharashtra,Buldana,1459
2025-04,Maharashtra,Buldhana,6561
2025-04,Maharashtra,Chandrapur,5549
2025-04,Maharashtra,Chatrapati Sambhaji Nagar,162
2025-04,Maharashtra,Chhatrapati Sambhajinagar,454
2025-04,Maharashtra,Dharashiv,113
2025-04,Maharashtra,Dhule,2157
2025-04,Maharashtra,Gadchiroli,2375
2025-04,Maharashtra,Gondia,47
2025-04,Maharashtra,Gondiya,3441
2025-04,Maharashtra,Gondiya *,100
2025-04,Maharashtra,Hingoli,6211
2025-04,Maharashtra,Jalgaon,7333
2025-04,Maharashtra,Jalna,3784
2025-04,Maharashtra,Kolhapur,5436
2025-04,Maharashtra,Latur,5388
2025-04,Maharashtra,Mumbai,5811
2025-04,Maharashtra,Mumbai City,883
2025-04,Maharashtra,Mumbai Suburban,3522
2025-04,Maharashtra,Mumbai( Sub Urban ),186
2025-04,Maharashtra,Nagpur,4933
2025-04,Maharashtra,Nanded,11192
2025-04,Maharashtra,Nandurbar,955
2025-04,Maharashtra,Nandurbar *,38
2025-04,Maharashtra,Nashik,10249
2025-04,Maharashtra,Osmanabad,5052
2025-04,Maharashtra,Palghar,3842
2025-04,Maharashtra,Parbhani,4995
2025-04,Maharashtra,Pune,11650
2025-04,Maharashtra,Raigad,619
2025-04,Maharashtra,Raigarh,3497
2025-04,Maharashtra,Raigarh(MH),63
2025-04,Maharashtra,Ratnagiri,2036
2025-04,Maharashtra,Sangli,3221
2025-04,Maharashtra,Satara,4272
2025-04,Maharashtra,Sindhudurg,1060
2025-04,Maharashtra,Solapur,9682
2025-04,Maharashtra,Thane,13469
2025-04,Maharashtra,Wardha,968
2025-04,Maharashtra,Washim,2108
2025-04,Maharashtra,Washim *,42
2025-04,Maharashtra,Yavatmal,9135
2025-04,Manipur,Bishnupur,1324
2025-04,Manipur,Chandel,489
2025-04,Manipur,Churachandpur,741
2025-04,Manipur,Imphal East,2915
2025-04,Manipur,Imphal West,1779
2025-04,Manipur,Jiribam,32
2025-04,Manipur,Kakching,46
2025-04,Manipur,Pherzawl,2
2025-04,Manipur,Senapati,855
2025-04,Manipur,Tamenglong,538
2025-04,Manipur,Thoubal,1657
2025-04,Manipur,Ukhrul,493
2025-04,Meghalaya,East Garo Hills,106
2025-04,Meghalaya,East Jaintia Hills,120
2025-04,Meghalaya,East Khasi Hills,561
2025-04,Meghalaya,Eastern West Khasi Hills,6
2025-04,Meghalaya,Jaintia Hills,1
2025-04,Meghalaya,North Garo Hills,95
2025-04,Meghalaya,Ri Bhoi,309
2025-04,Meghalaya,South Garo Hills,112
2025-04,Meghalaya,South West Garo Hills,158
2025-04,Meghalaya,South West Khasi Hills,59
2025-04,Meghalaya,West Garo Hills,421
2025-04,Meghalaya,West Jaintia Hills,291
2025-04,Meghalaya,West Khasi Hills,348
2025-04,Mizoram,Aizawl,339
2025-04,Mizoram,Champhai,101
2025-04,Mizoram,Hnahthial,2
2025-04,Mizoram,Khawzawl,1
2025-04,Mizoram,Kolasib,58
2025-04,Mizoram,Lawngtlai,96
2025-04,Mizoram,Lunglei,128
2025-04,Mizoram,Mamit,39
2025-04,Mizoram,Mammit,20
2025-04,Mizoram,Saiha,30
2025-04,Mizoram,Saitual,5
2025-04,Mizoram,Serchhip,49
2025-04,Nagaland,Chumukedima,15
2025-04,Nagaland,Dimapur,352
2025-04,Nagaland,Kiphire,13
2025-04,Nagaland,Kohima,98
2025-04,Nagaland,Longleng,26
2025-04,Nagaland,Meluri,2
2025-04,Nagaland,Mokokchung,108
2025-04,Nagaland,Mon,110
2025-04,Nagaland,Niuland,8
2025-04,Nagaland,Noklak,14
2025-04,Nagaland,Peren,36
2025-04,Nagaland,Phek,63
2025-04,Nagaland,Shamator,9
2025-04,Nagaland,Tseminyu,6
2025-04,Nagaland,Tuensang,292
2025-04,Nagaland,Wokha,12
2025-04,Nagaland,Zunheboto,72
2025-04,ODISHA,NUAPADA,1
2025-04,Odisha,ANUGUL,4
2025-04,Odisha,Angul,681
2025-04,Odisha,Anugul,57
2025-04,Odisha,Balangir,851
2025-04,Odisha,Baleshwar,453
2025-04,Odisha,Baleswar,1071
2025-04,Odisha,Bargarh,901
2025-04,Odisha,Baudh,38
2025-04,Odisha,Bhadrak,958
2025-04,Odisha,Boudh,160
2025-04,Odisha,Cuttack,1242
2025-04,Odisha,Debagarh,226
2025-04,Odisha,Dhenkanal,906
2025-04,Odisha,Gajapati,566
2025-04,Odisha,Ganjam,2572
2025-04,Odisha,JAJPUR,323
2025-04,Odisha,Jagatsinghapur,356
2025-04,Odisha,Jagatsinghpur,213
2025-04,Odisha,Jajapur,752
2025-04,Odisha,Jajpur,6
2025-04,Odisha,Jharsuguda,387
2025-04,Odisha,Kalahandi,1251
2025-04,Odisha,Kandhamal,758
2025-04,Odisha,Kendrapara,1027
2025-04,Odisha,Kendujhar,1320
2025-04,Odisha,Khorda,804
2025-04,Odisha,Khordha,216
2025-04,Odisha,Koraput,1310
2025-04,Odisha,Malkangiri,501
2025-04,Odisha,Mayurbhanj,2027
2025-04,Odisha,NUAPADA,17
2025-04,Odisha,Nabarangapur,1271
2025-04,Odisha,Nayagarh,585
2025-04,Odisha,Nuapada,474
2025-04,Odisha,Puri,991
2025-04,Odisha,Rayagada,1286
2025-04,Odisha,Sambalpur,886
2025-04,Odisha,Sonapur,347
2025-04,Odisha,Subarnapur,101
2025-04,Odisha,Sundargarh,283
2025-04,Odisha,Sundergarh,962
2025-04,Odisha,jajpur,4
2025-04,Orissa,Angul,2
2025-04,Orissa,Anugul,10
2025-04,Orissa,Balangir,238
2025-04,Orissa,Baleshwar,84
2025-04,Orissa,Bargarh,40
2025-04,Orissa,Bhadrak,152
2025-04,Orissa,Cuttack,94
2025-04,Orissa,Dhenkanal,33
2025-04,Orissa,Gajapati,2
2025-04,Orissa,Ganjam,273
2025-04,Orissa,Jagatsinghapur,8
2025-04,Orissa,Jajapur,32
2025-04,Orissa,Jharsuguda,6
2025-04,Orissa,Kalahandi,2
2025-04,Orissa,Kandhamal,14
2025-04,Orissa,Kendrapara,18
2025-04,Orissa,Kendujhar,7
2025-04,Orissa,Khordha,169
2025-04,Orissa,Koraput,43
2025-04,Orissa,Malkangiri,10
2025-04,Orissa,Mayurbhanj,2
2025-04,Orissa,Nayagarh,31
2025-04,Orissa,Puri,93
2025-04,Orissa,Rayagada,43
2025-04,Orissa,Sambalpur,10
2025-04,Orissa,Sonapur,5
2025-04,Orissa,Subarnapur,2
2025-04,Orissa,Sundargarh,38
2025-04,Pondicherry,Karaikal,55
2025-04,Pondicherry,Pondicherry,310
2025-04,Pondicherry,Yanam,9
2025-04,Puducherry,Karaikal,151
2025-04,Puducherry,Pondicherry,1
2025-04,Puducherry,Puducherry,532
2025-04,Puducherry,Yanam,5
2025-04,Punjab,Amritsar,2512
2025-04,Punjab,Barnala,335
2025-04,Punjab,Bathinda,1141
2025-04,Punjab,Faridkot,402
2025-04,Punjab,Fatehgarh Sahib,479
2025-04,Punjab,Fazilka,742
2025-04,Punjab,Ferozepur,513
2025-04,Punjab,Firozpur,215
2025-04,Punjab,Gurdaspur,1416
2025-04,Punjab,Hoshiarpur,745
2025-04,Punjab,Jalandhar,1417
2025-04,Punjab,Kapurthala,664
2025-04,Punjab,Ludhiana,2142
2025-04,Punjab,Malerkotla,168
2025-04,Punjab,Mansa,329
2025-04,Punjab,Moga,473
2025-04,Punjab,Muktsar,162
2025-04,Punjab,Nawanshahr,132
2025-04,Punjab,Pathankot,285
2025-04,Punjab,Patiala,1139
2025-04,Punjab,Rupnagar,414
